Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Informer	tbp	informer_2.png	Character	Syndicate	Undercover Synthetic Agent	2		{syn}{tek}	2			Fixed	informer undercover synthetic agent	Turn and target an opponent :: Reveal the top 3 cards of target's deck and choose a card. You may play that card, regardless of type, and replacing each resource requirement with {syn}. Upgrade {syn}{syn}{syn}3: 4 Fighting. Influence: 2.	
The Woman from MAIRAX	tbp	the_woman_from_mairax_2.png	Character	Syndicate	Corporate Agent	3	{syn}{syn}{syn}{syn}	{syn}{tek}{chi}	5			Fixed	woman from mairax corporate agent	Unique. Influence: 3. States you control gain Influence equal to their cost.  Turn 3 Influence :: Gain one Power.	
"David"	tbp	david_2.png	Character	Syndicate	2nd Variety Corporate Synthetic	4	{syn}{syn}{tek}	{syn}	6			Fixed	david 2nd variety corporate synthetic	When this card smokes a Character, it copies any bold-faced abilities printed in the rules text of that card and gains +1 Fighting until it leaves play. Upgrade {syn}{syn}{syn}{tek}5: 8 Fighting. Lethal.	
"Jessica"	tbp	jessica_2.png	Character	Syndicate	3rd Variety Corporate Synthetic	5	{syn}{syn}{syn}{tek}	{syn}	8			Fixed	jessica 3rd variety corporate synthetic	Once per turn, you may choose a Character :: Copy the printed text and resource provisions of that Character to this card until the end of the turn. Upgrade {syn}{syn}{syn}{syn}{tek}6: 10 Fighting. You may instead choose a Character in any smoked pile.	
Automobot	tbp	automobot_2.png	Character	Syndicate	Cyborg in Disguise	5	{syn}{syn}{tek}{tek}	{syn}{tek}	8			Fixed	automobot cyborg disguise	Toughness: 1. Pay 3 Power and sacrifice :: Return this card to play. You may play or return this card to play as a State with the rules text: "Vehicle. Subject Character gains +8 Fighting and Toughness: 1. Pay 3 Power and sacrifice :: Return this card to play."	
Hunter-Killer	tbp	hunter_killer_1.png	Character	Syndicate	1st Variety Corporate Drone	1	{syn}{tek}	{syn}	1			Fixed	hunter killer 1st variety corporate drone	Lethal while attacking. Upgrade: {syn}{syn}{syn}{tek}3: 5 Fighting. Assassinate.	
Cybercop	tbp	cybercop_2.png	Character	Syndicate	Reprogrammed Corporate Enforcer	3	{syn}{tek}	{syn}{tek}	4			Fixed	cyber cybercop reprogrammed corporate enforcer	When this card inflicts combat damage on the target of its attack, you may target an Edge :: Smoke target. If you controlled target smoked Edge, you may target a non-Unique Character :: Smoke target.	
Extraction	tbp	extraction_2.png	Edge	Syndicate	Edge	0	{syn}{syn}					Fixed	extraction	Not Cumulative. When an attack you declared inflicts combat damage on the target of its attack, turn :: Play a non-foundation card from the target's controller's smoked pile, ignoring resources and regardless of type. Cards played in this way gain Toast It.	
Prime Directives	tbp	prime_directives_2.png	Edge	Syndicate	Edge	2	{syn}{syn}					Fixed	prime directive	<Corporate> cards gain Immunity to Events. Upgrade {syn}{syn}{syn}3: Influence X. X= the number of Sites you control.	
Synthetic Incursion	tbp	synthetic_incursion_2.png	Edge	Syndicate	Corporate Edge	1	{syn}{syn}					Fixed	synthetic incursion corporate	Limited. At the start of your Main Shot, if you have at least six different faction resources in your pool, all provided by non-foundation cards, you may search your deck for a card and put it in your hand. Turn and maintain and target a Character you control. Choose a faction resource :: Target provides that resource.	
Tears In Rain	tbp	tears_in_rain_2.png	Event	Syndicate	Event	1	{syn}{syn}	{syn}{chi}				Fixed	tear rain	Play when a Character you control smokes an opponent's Character.  Return that Character to play under your control and toast your Character (even if it was smoked).	
Compromised Intelligence	tbp	compromised_intelligence_1.png	Event	Syndicate	Event	0	{syn}{syn}					Fixed	compromised intelligence	Limited. Target a player :: Target draws 3 cards, and then discards at random until they have 6 cards in their hand.	
Corporate Espionage	tbp	corporate_espionage_2.png	Event	Syndicate	Event	0	{syn}{syn}					Fixed	corporate espionage	Limited. Play when you declare an attack. If the attack succeeds, reveal the top three cards of the target of the attack's controller's deck, and choose a card. Gain Power equal to the half the cost of that card (round up).	
Cybernetic Upgrade	tbp	cybernetic_upgrade_1.png	Event	Syndicate	Event	0	{syn}X					Fixed	cyber cybernetic upgrade	Target a card you control with an Upgrade cost whose Upgrade resource requirements are in your pool :: Target is now Upgraded. X= Target's Upgrade Cost - Target's printed cost. You may Reload this card when a card with an Upgrade cost leaves play.	
Synthetics Production Facility	tbp	synthetics_production_facility_2.png	Site	Syndicate	Corporate Site	2	{syn}{syn}	{syn}{tek}		1	6	Fixed	synthetic production facility corporate	Turn :: Play a card at Upgrade at -1 cost. You may play a card at Upgrade replacing each resource requirement with {syn}.	
The Paragon	tbp	the_paragon_1.png	Character	Unaligned	Agent Mastermind	4			6			Fixed	paragon agent mastermind	Unique. When this card enters play and at the start of your turn, choose a designator in play. This card gains that designator until a new designator is chosen. May not be intercepted by Characters that share a designator with it.	
Cold War	tbp	cold_war_2.png	Edge	Unaligned	Juncture Edge	0						Fixed	cold war juncture	At the end of each turn, if each player controls 10 or more cards, smoke all Characters and Edges in play, otherwise all players gain 1 Power. If another <Juncture> Edge enters play, toast this card.	
Modern Day	tbp	modern_day_2.png	Edge	Unaligned	Juncture Edge	1						Fixed	modern day juncture	Players may play Sites at new locations at -1 cost. Players with at least 2 different faction resources in their pool may play cards ignoring one faction resource condition.  If another <Juncture> Edge enters play, toast this card.	
Kowloon Sewers	tbp	kowloon_sewers_1.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	kowloon sewer	Unique. Turn and maintain and target a Character :: Target gains Stealth.	
The Berlin Wall	tbp	the_berlin_wall_2.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	9	Fixed	berlin wall	Power gained, stolen or generated by an effect cannot exceed the number of Sites controlled by the player with the most Sites. When this card's Body is reduced to 0, you must target an Edge :: Smoke target.	
Inconspicuous Front	tbp	inconspicuous_front_1.png	Feng Shui Site	Unaligned	Netherworld Feng Shui Site	0				1	9	Fixed	inconspicuous front netherworld	Limited. Once per turn, you may choose a Site in any smoked pile :: Copy the rules text of the chosen Site to this card until the end of the turn.	
Dead Drop	tbp	dead_drop_1.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	8	Fixed	dead drop	Once per turn, when an opponent discards one or more cards you may draw a card.  Once per turn, when you discard one or more cards you may target an opponent :: Target draws a card.	
Netherworld Consulate	tbp	netherworld_consulate_1.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	8	Fixed	netherworld consulate	Foundation cards you control with a cost greater than one provide an additional resource of each type they already provide. Turn and toast a Foundation with a cost greater than one in your smoked pile :: Gain 1 Power.	
Mairax Corporate HQ	tbp	mairax_corporate_hq_1.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	mairax corporate hq	Unique. Influence: 3.	
Skyscraper Rooftop	tbp	skyscraper_rooftop_1.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	skyscraper rooftop	Turn and maintain and target a Unique Site :: Cancel target.	
Mastermind's Lair	tbp	masterminds_lair_1.png	Site	Unaligned	Site	2				1	8	Fixed	mastermind lair	Limited. <Mastermind> Characters you control gain Toughness: 2 while unturned. Turn and maintain a <Mastermind> Character you control and target a Character, Edge, State or Site :: Cancel target.	
License to Kill	tbp	license_to_kill_2.png	State	Unaligned	State	1						Fixed	license kill	Subject Character gains Lethal while attacking.	
Mirror Shades	tbp	mirror_shades_2.png	State	Unaligned	State	1						Fixed	mirror shade	Subject Character gains Toughness: 1. Sacrifice during any Main Shot :: Cancel and smoke a card with a printed cost of 0 as it is played.	
