Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
BuroMil Soldier	rainforestrumble	buromil_soldier_1.png	Token	Architects of the Flesh		2	{arc}		2			Fixed	buro mil soldier	Token. Guts.	
Sicario	rainforestrumble	sicario_1.png	Character	Ascended	Sworn Assassin	1		{asc}{chi}	1			Fixed	sicario sworn assassin	Assassinate. Cannot turn to attack Sites.	
Shadow of the Jaguar	rainforestrumble	shadow_of_the_jaguar_2.png	Character	Ascended	Transformed Martial Artist	2		{asc}{chi}	2			Fixed	shadow jaguar transformed martial artist	Tactics. Upgrade {asc}{asc}{asc}3: +3 Fighting. When this card turns to attack, Characters you control gains Tactics until the end of the attack.	
Kunoichi	rainforestrumble	kunoichi_2.png	Character	Ascended	Sworn Ninjas	1	{asc}	{asc}{chi}	1			Fixed	kunoichi sworn ninja	May be played during an attack. When this card enters play during an attack, target an attacking or intercepting Character :: Inflict 1 Stun non-combat damage on target and it may not intercept during this attack.	
Lobbyist	rainforestrumble	lobbyist_1.png	Character	Ascended	Corporate Politician	2	{asc}	{asc}	2			Fixed	lobbyist corporate politician	Turn :: Play an Edge from any smoked pile at -1 cost.	
Squeeze of the Anaconda	rainforestrumble	squeeze_of_the_anaconda_1.png	Character	Ascended	Extorting Agent	3	{asc}{asc}	{asc}{chi}	4			Fixed	squeeze anaconda extorting agent	Assassinate. Once during each of your Main Shots, when you play a {chi} Event or {chi} State, you may target an opponent :: Steal one power from them.	
Curiosity	rainforestrumble	curiosity_2.png	Character	Ascended	Transformed Ninja	3	{asc}{asc}	{asc}{chi}	3			Fixed	curiosity transformed ninja	Unique. Assassinate. Cannot be sacrificed. Once per turn, when you play a non-Site card that does not share a title with a card in your smoked pile, you may return this card to play.	
Wetworks Team	rainforestrumble	wetworks_team_1.png	Character	Ascended	Sworn Secret Agents	3	{asc}{asc}	{asc}	4			Fixed	wetworks team sworn secret agent	Stealth. When this card damages the target of its attack, you may look at the hand of it's target's controller; if this card did not use Stealth this attack, you may choose a card in that hand and discard it.	
Birdwatchers	rainforestrumble	birdwatchers_1.png	Character	Ascended	Sworn Commandos	4	{asc}{asc}	{asc}	6			Fixed	birdwatcher sworn commando	Stealth. Tactics. While this character is intercepting, you may choose this Character to cease intercepting :: This character ceases intercepting.	
Enrico Falc�o	rainforestrumble	enrico_falc_o_1.png	Character	Ascended	Determined Sworn Assassin	4	{asc}{asc}{asc}	{asc}	6			Fixed	enrico falco determined sworn assassin	Unique. Assassinate. Toughness: 2 against combat damage. Upgrade {asc}{asc}{asc}6: +2 Fighting and Ambush.	
Von Humboldt	rainforestrumble	von_humboldt_3.png	Character	Ascended	Sworn Rainforest Explorer	4	{asc}{asc}	{asc}	5			Fixed	von humboldt sworn rainforest explorer	Unique. Toast It. When this card enters play, heal all Sites in play, then, turn all undamaged Feng Shui Sites controlled by their owners face down. When a player reveals a Unique, Limited, or <Rainforest> Site, this card gains +1 Fighting until it leaves play.	
Commander Lu	rainforestrumble	commander_lu_2.png	Character	Ascended	Sworn Hood Cop	5	{asc}{asc}	{asc}{chi}	8			Fixed	commander lu sworn hood cop	Unique. <Cop> and <Police> cards you control gain the designator <Hood>. All <Hood> Characters you control gain +1 combat damage.	
General Mark Grimshaw	rainforestrumble	general_mark_grimshaw_1.png	Character	Ascended	Lodge Killer	5	{asc}{asc}{asc}	{asc}	9			Fixed	general mark grimshaw lodge killer	Unique. Ambush and Assassinate against Characters with non-damage counters on them. When this card enters play and at the start of your turn, target a Character :: Put a counter on target.	
The Unspoken Name	rainforestrumble	the_unspoken_name_2.png	Character	Ascended	Renegade Sworn Mastermind	5	{asc}{asc}{asc}	{asc}	8			Fixed	unspoken name renegade sworn mastermind	Unique. Tactics. While this card is attacking, your <Sworn> characters gain Immunity to opponents� Events. This card is cancelled while at the location of a <Lodge> Character.	
Ferdinand Solomon	rainforestrumble	ferdinand_solomon_2.png	Character	Ascended	Transformed Panther	6	{asc}{asc}{asc}	{asc}{chi}	8			Fixed	ferdinand solomon transformed panther	Unique. Stealth. Guts. When you play a {chi} Event or {chi} State, this card gains Ambush until the end of the turn.�	
Mind Games	rainforestrumble	mind_games_2.png	Edge	Ascended	Edge	0	{asc}{asc}					Fixed	mind game	Not Cumulative. When this card enters play, target an opponent, look at their hand and name a card that is not a foundation or Feng Shui Site. When target plays the named card, sacrifice :: Gain 2 power.	
Wiretaps	rainforestrumble	wiretaps_1.png	Edge	Ascended	Sworn Edge	1	{asc}{asc}{asc}					Fixed	wiretap sworn	When an opponent gains or steals Power from an Event they played or from a Site they control, you may put a "Sworn" token into play.	
Wealth of Nations	rainforestrumble	wealth_of_nations_2.png	Edge	Ascended	Political Edge	2	{asc}{asc}{asc}					Fixed	wealth nation political	Limited. <Sworn> Characters you control gain +X Fighting. X= the number of players with Power in their pool.	
Call of the Wild	rainforestrumble	call_of_the_wild_1.png	Edge	Ascended	Edge	3	{asc}{asc}{asc}					Fixed	call wild	Characters you control gain Ambush when attacking Characters. When you play a {chi} Event or {chi} State, you may target a Character :: Target gains +1 Fighting until it leaves play.	
The Beast Within	rainforestrumble	the_beast_within_3.png	Edge	Ascended	Transformed Edge	2	{asc}{asc}{asc}{chi}					Fixed	beast transformed	Not Cumulative. Once per your Main Shot, you may play a <Path>, <Wild>, or <Feral> card at -1 cost.  <Transformed> Characters you control that are the subject of a State gain fighting equal to the printed cost of that state.	
Dart of the Poison Frog	rainforestrumble	dart_of_the_poison_frog_1.png	Event	Ascended	Transformed Event	0	{asc}{asc}{chi}					Fixed	dart poison frog transformed	Target an opponent's Character :: Target inflicts -2 combat damage until the end of its controller's turn. You may Reload this card when a <Transformed> Character you control is smoked.	
Priority Investigation	rainforestrumble	priority_investigation_1.png	Event	Ascended	Event	1	{asc}{asc}{asc}					Fixed	priority investigation	Play in response to an opponent reducing the body of a Site you control to zero :: Put 2 "Agent" tokens into play. Put an additional "Agent" token into play if the site is Unique or provides {asc}.	
Cheap Muscle	rainforestrumble	cheap_muscle_2.png	Event	Ascended	Hood Event	3	{asc}{asc}{asc}					Fixed	cheap muscle hood	Put X "Hood" tokens into play. X = the number of Characters controlled by opponents. If you control a <Hood> Character, or have one in your Smoked pile, you may substitute the resources it provides for the resource requirements of this card.	
Illuminated Grove	rainforestrumble	illuminated_grove_1.png	Site	Ascended	Site	2	{asc}	{asc}{chi}		1	6	Fixed	illuminated grove	Not cumulative. Turn and maintain and target a <Transformed> Character :: Target gains +X Fighting, where X= the number of other <Transformed> Characters you control.	
Apex Predator	rainforestrumble	apex_predator_1.png	State	Ascended	State	4	{asc}{asc}{asc}{chi}					Fixed	apex predator	Play on a non-Unique Character. Subject gains +6 Fighting. When subject smokes a Character that is the target of its attack it gains +X Fighting. X=the printed cost of that Character.	
Redeemed Mook	rainforestrumble	redeemed_mook_1.png	Character	Dragons	Rambunctious Bruiser	1		{dra}	1			Fixed	redeemed mook rambunctious bruiser	+1 Fighting and Toughness: 1 while there are four or more Characters at this location.	
Locum	rainforestrumble	locum_2.png	Character	Dragons	Maverick Doc	2		{dra}{tek}	2			Fixed	locum maverick doc	Independent. Once per turn when this card enters combat you may target a damaged Character :: Heal target and draw a card.	
Seamus' Apprentices	rainforestrumble	seamus_apprentices_2.png	Character	Dragons	Techie Students	2		{dra}{tek}	2			Fixed	seamus apprentice techie student	When this card enters play, draw two cards. Upgrade {dra}{dra}3: +2 Fighting.	
Kar Bai	rainforestrumble	kar_bai_1.png	Character	Dragons	Hero in Training	1	{dra}	{dra}{chi}	1			Fixed	kar bai hero training	Unique. Independent. Cannot be intercepted by Characters that do not require resources. Upgrade {dra}{dra}{dra}{dra}5: +7 Fighting, Guts, and the designator <Master>.	
Two-Fisted Archeologist	rainforestrumble	two_fisted_archeologist_2.png	Character	Dragons	Maverick Explorer	2	{dra}{dra}	{dra}	2			Fixed	two fisted archeologist maverick explorer	+2 Fighting and Guts while there are four or more Characters at this location.  Once per your Main Shot, you may play a State on this card from any player's smoked pile, ignoring resource conditions.	
Det. Samantha North	rainforestrumble	det_samantha_north_1.png	Character	Dragons	Maverick Cop Clone	3	{dra}{dra}	{dra}	4			Fixed	det samantha north maverick cop clone	Unique.  Guts. When a Character enters combat with this card, this card gains +1 Fighting until the end of the turn.	
Tattooed Girl	rainforestrumble	tattooed_girl_2.png	Character	Dragons	Resilient Hacker	3	{dra}{dra}	{dra}	3			Fixed	tattooed girl resilient hacker	Cannot be sacrificed. When this card enters play from the smoked pile, it gains +4 Fighting until it leaves play.	
Capoeira Master	rainforestrumble	capoeira_master_2.png	Character	Dragons	Martial Artist	4	{dra}{dra}	{dra}	6			Fixed	capoeira master martial artist	+3 combat damage when intercepting. When this card smokes a Character you may target another Character :: Inflict 1 non-combat damage on target.	
Cassie Abel	rainforestrumble	cassie_abel_3.png	Character	Dragons	Redeemed Silent Vigilante	4	{dra}{dra}	{dra}	5			Fixed	cassie abel redeemed silent vigilante	Unique. Stealth. Stun. When this card enters combat, you may target another card at this location :: Inflict one non-combat damage on target.	
Joey Paz	rainforestrumble	joey_paz_1.png	Character	Dragons	Escrima Master	4	{dra}{dra}{dra}	{dra}{chi}	6			Fixed	joey paz escrima master	Unique. Toughness: 2 for each player who has played an Event this turn. When a Character you control is removed from play by an opponent's Event, you may play this card at -2 cost.	
Alfonso "El Torbellino" Ju�rez	rainforestrumble	alfonso_el_torbellino_ju_rez_2.png	Character	Dragons	Swole Hombre	5	{dra}{dra}{dra}	{dra}	8			Fixed	alfonso el torbellino jurez swole hombre	Unique. Guts. While there are four our more Characters at this location with different titles, Characters you control at this location gain +1 Fighting and Toughness: 1.	
Jack Donovan	rainforestrumble	jack_donovan_1.png	Character	Dragons	Maverick Cop	5	{dra}{dra}{dra}	{dra}	8			Fixed	jack donovan maverick cop	Unique. Guts. If this card is in your smoke pile when one of your Sites is burned, return this card to play.	
Melissa Aguelera	rainforestrumble	melissa_aguelera_1.png	Character	Dragons	Retired Commando	5	{dra}{dra}	{dra}	7			Fixed	melissa aguelera retired commando	Unique. Tactics. All Characters you control with Guts gain +1 Fighting. Turn and maintain a Site you control and target a Character :: Target gains Guts and Tactics.	
Little Jim	rainforestrumble	little_jim_2.png	Character	Dragons	Redeemed Abomination	6	{dra}{dra}{dra}{tek}	{dra}	10			Fixed	little jim redeemed abomination	Unique. Regenerate. Sentinel. While there are four or more Characters at this location, Characters you control at this location gain Immunity to opponents' Events that would damage them or remove them from play.	
Warren Church	rainforestrumble	warren_church_2.png	Character	Dragons	Maverick Bruiser	6	{dra}{dra}{dra}	{dra}	9			Fixed	warren church maverick bruiser	Unique. Guts. Once per turn, when damage is inflicted on this card, it gains +2 Fighting until it leaves play.	
Loose Cannons	rainforestrumble	loose_cannons_1.png	Edge	Dragons	Edge	2	{dra}{dra}{dra}					Fixed	loose cannon	Not Cumulative. When a non-foundation <Maverick> Character you control is smoked by an opponent, turn this card :: Cut your deck and reveal the top card. You may play it at no cost, regardless of type.	
Turning The Tables	rainforestrumble	turning_the_tables_2.png	Event	Dragons	Event	0	{dra}{dra}					Fixed	turning table	Limited. Target an opponent during their Main Shot :: Steal X power from target. X = the number of attacks they have declared this turn.	
Year of the Ox	rainforestrumble	year_of_the_ox_2.png	Event	Dragons	Event	0	{dra}{dra}{dra}{dra}					Fixed	year ox	One-Shot. Play during any main shot in which you have not yet declared an attack. You may only declare one attack this turn. Until the end of the turn, Unique attacking {dra} Characters you control gain +X Fighting and Immunity to effects that would change the target of their attack or cause them to cease attacking. X = the resources the character requires and provides.	
Rainforest Rumble	rainforestrumble	rainforest_rumble_2.png	Event	Dragons	Event	1	{dra}{dra}{dra}					Fixed	rainforest rumble	Target a location :: Inflict 1 non-combat damage on all Characters at that location. If you control four or more Characters at that location, inflict 1 additional non-combat damage on all Characters you do not control at that location.	
Favela's Fracas	rainforestrumble	favelas_fracas_1.png	Event	Dragons	Event	2	{dra}{dra}					Fixed	favela fracas	Characters you control gain +X Fighting and Unstoppable until the end of the turn. X = the number of players that control Characters at this location.	
Favela Workshops	rainforestrumble	favela_workshops_1.png	Site	Dragons	Site	2	{dra}	{dra}		1	8	Fixed	favela workshop	Characters you control that are the subject of a State gain Immunity to Events with a lower printed cost than that State.	
Furious Tiger Kung Fu	rainforestrumble	furious_tiger_kung_fu_1.png	State	Dragons	State	2	{dra}{dra}{dra}					Fixed	furious tiger kung fu	Play on a Character. Subject gains +X Fighting and Unstoppable. X=the number of Unique cards you control and in your smoked pile.	
Bloom Tender	rainforestrumble	bloom_tender_3.png	Character	Guiding Hand	Rainforest Gardener	2		{han}{chi}	2			Fixed	bloom tender rainforest gardener	Sentinel. Once per turn when a card is healed, you may look at the top 2 cards of your deck. Draw one and put one on either the top or bottom of your deck.	
Rainforest Revolutionaries	rainforestrumble	rainforest_revolutionaries_3.png	Character	Guiding Hand	Violet Order Peasants	2		{han}{chi}	2			Fixed	rainforest revolutionary violet order peasant	When an opponent with 2 or more power in their pool declares an attack, you may return this card to play from your smoked pile.  If you do, and you have {chi}{chi}{chi} in your pool, it gains its Upgrade text. Upgrade: {han}{chi}{chi}2: +1 Fighting. Turn and target a <Rainforest> card :: Heal target.	
Medicinal Gardener	rainforestrumble	medicinal_gardener_2.png	Character	Guiding Hand	Elderly Disciple	1	{han}	{han}{chi}	1			Fixed	medicinal gardener elderly disciple	Discard a card and target a damaged Character or Site you control :: Heal 1 damage from target.	
Golden Sky Koi	rainforestrumble	golden_sky_koi_1.png	Character	Guiding Hand	Flying Fish	2	{han}{han}	{han}{chi}	2			Fixed	golden sky koi flying fish	Superleap. When this card reduces the body of a Site to 0, it gains +2 Fighting until it leaves play.	
Drunk of the North	rainforestrumble	drunk_of_the_north_2.png	Character	Guiding Hand	Kung Fu Clone	3	{han}{han}{han}	{han}	5			Fixed	drunk north kung fu clone	Unique. Unstoppable. Cannot be intercepted by Characters with a fighting of 2 or less.	
Monks of Tao Lo	rainforestrumble	monks_of_tao_lo_1.png	Character	Guiding Hand	Violet Rainforest Protectors	3	{han}	{han}{chi}	4			Fixed	monk tao lo violet rainforest protector	If an effect would return one or more cards (of any type) from your smoked pile to your hand or play, you may choose this card instead of one of those cards.	
Peasant Archers	rainforestrumble	peasant_archers_1.png	Character	Guiding Hand	Kyudo Monks	3	{han}{han}{han}	{han}	4			Fixed	peasant archer kyudo monk	If this card is unturned while intercepting, this card inflicts its combat damage at the same time an attacker with Ambush would.  When this card turns to attack, you may target a Character :: Inflict 2 non-combat damage on target.	
Tao Bin	rainforestrumble	tao_bin_1.png	Character	Guiding Hand	Violet Martial Artist	3	{han}{han}{han}	{han}{chi}	3			Fixed	tao bin violet martial artist	Unique. Superleap. Whenever an effect returns one or more cards to play or to their owner's hand from a smoked pile, this card gains +1 Fighting until it leaves play.	
La Madremonte	rainforestrumble	la_madremonte_2.png	Character	Guiding Hand	Spirit of the Rainforest	4	{han}{han}{chi}	{han}{chi}	6			Fixed	la madremonte spirit rainforest	Unique. Loyalty. Regenerate. When an opponent damages a Site you control, this card gains +1 Fighting until it leaves play. You may give this card -1 Fighting :: Heal up to 2 damage from Sites you control.	
Old Man Wu	rainforestrumble	old_man_wu_1.png	Character	Guiding Hand	Master of the Monkey Style	4	{han}{han}	{han}{chi}	6			Fixed	old man wu master monkey style	Unique. You may redirect exactly 1 damage from each source that would damage this card to any Character in play.	
Punch-Drunk Monk	rainforestrumble	punch_drunk_monk_3.png	Character	Guiding Hand	Liquored-up Martial Artist	4	{han}{han}{han}	{han}{chi}	6			Fixed	punch drunk monk liquored up martial artist	Toughness: 1. Discard a card :: This card gains Guts until the end of the turn.	
Rainforest Gardener	rainforestrumble	rainforest_gardener_2.png	Character	Guiding Hand	Martial Artist	4	{han}{han}{han}	{han}{chi}	6			Fixed	rainforest gardener martial artist	Stun. Sites you control at this location gain Toughness: 1. Once per turn, when a Site you control is healed, this card gains +1 Fighting until it leaves play.	
Tamotsu	rainforestrumble	tamotsu_2.png	Character	Guiding Hand	Budding Violet Master	4	{han}{han}{han}{han}	{han}{chi}	5			Fixed	tamotsu budding violet master	Unique. When this card enters play, target 2 Characters with a printed cost of 1 or 2 in any smoked pile :: This card copies the rules text of targets until it leaves play. Return targets to play under your control and cancel them until they leave play.	
Violet Master	rainforestrumble	violet_master_2.png	Character	Guiding Hand	Rainforest Recluse	4	{han}{han}	{han}{chi}	6			Fixed	violet master rainforest recluse	You may play this card in any main shot in response to an Event. When this card enters play, you may return a card in your smoked pile to your hand.	
Wise Warrior	rainforestrumble	wise_warrior_1.png	Character	Guiding Hand	Rainforest Peasant	5	{han}{han}{han}	{han}{chi}	8			Fixed	wise warrior rainforest peasant	When this card inflicts combat damage on the target of its attack, you may heal damage from cards you control equal to the amount of damage inflicted	
Qin Wei	rainforestrumble	qin_wei_1.png	Character	Guiding Hand	Wandering Archivist	6	{han}{han}{han}	{han}{chi}{chi}	9			Fixed	qin wei wandering archivist	Unique. Toughness: X. Independent. +X hand size. X = the number of opponents.	
Rainforest Alliance	rainforestrumble	rainforest_alliance_2.png	Edge	Guiding Hand	Edge	2	{han}					Fixed	rainforest alliance	<Gardener> Characters you control gain +1 Fighting and Regenerate while you control a damaged Site. Turn and target a Site you control:: Redirect all damage inflicted on target by a single source to a Character you control.	
Defense of the Turtle	rainforestrumble	defense_of_the_turtle_1.png	Event	Guiding Hand	Yellow Event	0	{han}{han}{han}{chi}					Fixed	defense turtle yellow	Target a site you control that is not the target of an attack :: Redirect all damage that would be inflicted on one or more characters you control from a single source to target.	
Euphonics	rainforestrumble	euphonics_2.png	Event	Guiding Hand	Event	0	{han}{chi}					Fixed	euphonics	Heal 2 damage from all Characters and Sites in play and draw a card.	
Rain of Tears	rainforestrumble	rain_of_tears_2.png	Event	Guiding Hand	Event	0	{han}{han}					Fixed	rain tear	Limited. Play when a non-foundation Unique Character you control is smoked :: Gain 2 power and you may heal a card you control.	
Year of the Goat	rainforestrumble	year_of_the_goat_2.png	Event	Guiding Hand	Violet Event	1	{han}{han}{han}					Fixed	year goat violet	One-Shot. Starting with the current player and proceeding clockwise, each player may choose a card in their smoked pile and play that card at no cost.	
Secluded Mountain	rainforestrumble	secluded_mountain_1.png	Site	Guiding Hand	Site	2		{han}{chi}		1	6	Fixed	secluded mountain	Once per turn when you discard one or more cards, you may draw a card or discard an additional card.	
Remote Dojo	rainforestrumble	remote_dojo_2.png	Site	Guiding Hand	Monastery Site	2	{han}{han}	{han}{chi}		1	5	Fixed	remote dojo monastery	At the start of your turn you may choose not to draw any cards (you may make this choice if your hand is at its maximum hand size). If you do, put a "Martial Artist" token into play.	
Path to Enlightenment	rainforestrumble	path_to_enlightenment_3.png	State	Guiding Hand	State	1	{han}{han}{chi}{chi}					Fixed	path enlightenment	Not Cumulative.  Turn or pay one power :: Subject gains +1 Fighting until it leaves play. Upgrade {han}{han}{chi}{chi}2: Subject gains Superleap.	
Blunt The Crane's Beak	rainforestrumble	blunt_the_cranes_beak_1.png	State	Guiding Hand	Yellow State	2	{han}{han}{chi}{chi}					Fixed	blunt crane beak yellow	Play on a Character. Turn and target a card at this location :: Redirect all damage inflicted on subject from a single source to target.	
Transcendence	rainforestrumble	transcendence_2.png	State	Guiding Hand	State of Mastery	3	{han}{chi}					Fixed	transcendence mastery	Subject Character gains +X Fighting. X = the number of {chi} in your pool. While you have two or fewer cards in your hand, subject gains Immunity to Events and other States.	
Mastery of the Green Principle	rainforestrumble	mastery_of_the_green_principle_2.png	State	Guiding Hand	State	3	{han}{han}{han}					Fixed	mastery green principle	Subject Character gains +3 Fighting and Toughness: 2. When damage inflicted on subject is reduced, you may draw or discard a card.	
Post-Modern Malcontents	rainforestrumble	post_modern_malcontents_2.png	Character	Jammers	Disillusioned Ape Punks	2		{jam}{tek}	2			Fixed	post modern malcontent disillusioned ape punk	Stun. Upgrade: {jam}{jam}{jam}4: +4 Fighting and Unstoppable.	
Spyder Monkey	rainforestrumble	spyder_monkey_3.png	Character	Jammers	Rainforest Infiltrator	2		{jam}{tek}	2			Fixed	spyder monkey rainforest infiltrator	When this card turns to attack, reveal and turn all Sites, which cannot be turned in response, at the location of that attack.	
Really Great Apes	rainforestrumble	really_great_apes_2.png	Character	Jammers	Rainforest Saboteur	2	{jam}	{jam}{tek}	2			Fixed	really great ape rainforest saboteur	When an opponent gains or steals power due to an effect they generated in a main shot, this card gains +2 Fighting until it leaves play.	
Empress Tama	rainforestrumble	empress_tama_2.png	Character	Jammers	Queen of the Primates	3	{jam}{jam}{jam}{jam}	{jam}{jam}	4			Fixed	empress tama queen primate	Unique. <Ape> and <Gorilla> Characters you control gain +1 Fighting and opponents must pay you 1 power to target them with effects.	
Potemkin's Guard	rainforestrumble	potemkins_guard_1.png	Character	Jammers	Repentant Soldier	3	{jam}{jam}	{jam}	4			Fixed	potemkin guard repentant soldier	Independent.  This card gains Stealth while you have a Site in your Burned for Victory pile. When this card seizes a site, this card gains +2 Fighting.	
Potemkin's Rebels	rainforestrumble	potemkins_rebels_1.png	Character	Jammers	Remorseful Saboteurs	3	{jam}{jam}	{jam}{tek}	4			Fixed	potemkin rebel remorseful saboteur	Once per main shot you may target a location and toast a {tek} card in your smoked pile :: Inflict 1 Stun non-combat damage on all sites at target, and cancel those sites until the end of the turn.	
Riot Grrrls	rainforestrumble	riot_grrrls_1.png	Character	Jammers	Amped Up Punks	3	{jam}{jam}	{jam}	4			Fixed	riot grrrls amped up punk	When this card turns to attack a Site, inflict X non-combat damage, divided any way you choose, on non-attacking Characters at the location of the attack. X = the number of attackers.	
Dr. Sara Nordstrom	rainforestrumble	dr_sara_nordstrom_2.png	Character	Jammers	Weird Clone Creator	3	{jam}{jam}{jam}	{jam}{tek}	4			Fixed	dr sara nordstrom weird clone creator	Unique. The values of all numbers not written as words on all {tek} and {jam} States at this location are increased by one.	
Green Rain	rainforestrumble	green_rain_2.png	Character	Jammers	Repentant Scientist	3	{jam}{jam}{jam}	{jam}{arc}{tek}	5			Fixed	green rain repentant scientist	Unique. Uncopyable. Toast It. Enters play with four counters. At the end of each of your turns, remove a counter. When there are no counters on this card, immediately smoke it. Once per your main shot, you may play a {tek} card from your hand or smoked pile at -1 cost. That card gains Toast It.	
Ancient Stone Guardian	rainforestrumble	ancient_stone_guardian_1.png	Character	Jammers	Rainforest Ape Sentry	4	{jam}{jam}{jam}{jam}	{jam}	5			Fixed	ancient stone guardian rainforest ape sentry	Unstoppable. Mobility. Once during your main shot, this card may declare an attack while turned.	
